ID,Density_first_sen_sum,Coverage_first_sen_sum,Density_first_sen_title_sum,Coverage_first_sen_title_sum,Comp,Comp_title
0,0.914285714,0.542857143,0.804878049,0.56097561,0.889240506,0.870253165
1,0,0,0.428571429,0.428571429,0.987341772,0.911392405
2,1.178571429,0.464285714,0.942857143,0.457142857,0.910828025,0.885350318
3,0.35,0.15,0.28,0.12,0.829059829,0.786324786
4,0.956521739,0.543478261,0.901960784,0.509803922,0.912801484,0.903525046
5,5.580645161,0.612903226,4.631578947,0.578947368,0.833333333,0.795698925
6,0,0,0,0,0.941176471,0.529411765
7,4.836734694,0.632653061,4.517857143,0.607142857,0.839869281,0.816993464
8,0.419354839,0.451612903,0.435897436,0.487179487,0.773049645,0.716312057
9,1.277777778,0.277777778,1,0.25,0.834862385,0.779816514
10,9.407407407,0.666666667,7.314285714,0.628571429,0.666666667,0.567901235
11,0.392857143,0.178571429,0.333333333,0.222222222,0.67816092,0.586206897
12,1.114285714,0.2,0.976744186,0.23255814,0.790419162,0.74251497
13,0,0,0,0,0.833333333,0.777777778
14,0.761904762,0.380952381,0.785714286,0.428571429,0.715909091,0.625
15,0.36,0.2,0.272727273,0.242424242,0.734042553,0.64893617
16,2.25,0.333333333,1.875,0.375,0.822222222,0.783333333
17,1.9375,0.5,1.692307692,0.487179487,0.924198251,0.906705539
18,2.12,0.36,1.741935484,0.35483871,0.666666667,0.586206897
19,0.620689655,0.482758621,0.555555556,0.527777778,0.859030837,0.828193833
20,17.03125,0.5,14.1025641,0.538461538,0.85625,0.8125
21,1.681818182,0.590909091,1.275862069,0.517241379,0.819354839,0.774193548
22,3.142857143,0.321428571,2.571428571,0.285714286,0.626666667,0.533333333
23,0.25,0.107142857,0.228571429,0.142857143,0.747663551,0.682242991
24,1.444444444,0.259259259,1.205882353,0.323529412,0.787878788,0.727272727
25,0.571428571,0.333333333,0.481481481,0.296296296,0.805194805,0.766233766
26,4.333333333,0.366666667,3.638888889,0.333333333,0.841176471,0.8
27,2.296296296,0.592592593,1.882352941,0.588235294,0.843866171,0.817843866
28,0.761904762,0.238095238,0.693877551,0.244897959,0.862068966,0.820689655
29,1.6,0.55,1.307692308,0.576923077,0.715447154,0.666666667
30,1.771428571,0.514285714,1.585365854,0.536585366,0.804511278,0.736842105
31,0.461538462,0.384615385,0.428571429,0.371428571,0.705128205,0.628205128
32,0.409090909,0.136363636,0.357142857,0.142857143,0.912650602,0.891566265
33,0.827586207,0.344827586,0.694444444,0.305555556,0.961222092,0.951821387
34,1.060606061,0.484848485,0.975,0.5,0.853146853,0.804195804
35,0.476190476,0.428571429,0.392857143,0.428571429,0.689189189,0.594594595
36,4.347826087,0.52173913,3.366666667,0.466666667,0.883333333,0.854166667
37,2.592592593,0.518518519,2.235294118,0.529411765,0.576923077,0.442307692
38,4.909090909,0.409090909,3.75862069,0.379310345,0.851282051,0.815384615
39,0.344827586,0.275862069,0.333333333,0.333333333,0.7875,0.74375
40,2.205882353,0.323529412,2.146341463,0.317073171,0.92,0.898461538
41,1.846153846,0.576923077,1.939393939,0.575757576,0.849462366,0.811827957
42,1.892857143,0.357142857,1.514285714,0.371428571,0.861751152,0.829493088
43,3.833333333,0.633333333,3.162162162,0.621621622,0.950757576,0.9375
44,1.884615385,0.615384615,1.606060606,0.575757576,0.86695279,0.841201717
45,2.451612903,0.580645161,2.081081081,0.594594595,0.717741935,0.661290323
46,0.352941176,0.235294118,0.317073171,0.243902439,0.908536585,0.887195122
47,0.833333333,0.466666667,0.675675676,0.459459459,0.824561404,0.777777778
48,0.6,0.366666667,0.5,0.315789474,0.876033058,0.851239669
49,1.066666667,0.433333333,0.916666667,0.444444444,0.702380952,0.607142857
50,0.88,0.32,0.818181818,0.393939394,0.551724138,0.413793103
51,0.192307692,0.153846154,0.235294118,0.176470588,0.333333333,0.133333333
52,1.3,0.25,1.153846154,0.307692308,0.863013699,0.808219178
53,0.45,0.35,0.392857143,0.357142857,0.757009346,0.691588785
54,0.615384615,0.346153846,0.515151515,0.333333333,0.788990826,0.724770642
55,0.409090909,0.272727273,0.448275862,0.379310345,0.914498141,0.884758364
56,2,0.434782609,1.903225806,0.516129032,0.763779528,0.708661417
57,0.172413793,0.103448276,0.25,0.138888889,0.895131086,0.865168539
58,0.821428571,0.5,0.722222222,0.5,0.864321608,0.829145729
59,0.777777778,0.518518519,0.647058824,0.5,0.914893617,0.893617021
60,4.75,0.678571429,3.8,0.628571429,0.860869565,0.834782609
61,3.032258065,0.612903226,2.594594595,0.594594595,0.864583333,0.828125
62,2.04,0.48,1.59375,0.5,0.903790087,0.883381924
63,0.363636364,0.242424242,0.325,0.25,0.7890625,0.7421875
64,0.740740741,0.407407407,0.636363636,0.454545455,0.826271186,0.800847458
65,3.292682927,0.512195122,2.914893617,0.489361702,0.68115942,0.579710145
66,1.772727273,0.590909091,1.551724138,0.620689655,0.557692308,0.403846154
67,1.086956522,0.260869565,1.258064516,0.322580645,0.806896552,0.75862069
68,0.964285714,0.357142857,0.885714286,0.4,0.825726141,0.796680498
69,0.952380952,0.571428571,0.918367347,0.612244898,0.913978495,0.892473118
70,1.096774194,0.580645161,2.025641026,0.641025641,0.87020649,0.852507375
71,4.545454545,0.75,4.04,0.74,0.88997555,0.880195599
72,1.755555556,0.355555556,1.653061224,0.346938776,0.960088692,0.957132299
73,0.907407407,0.5,0.862068966,0.5,0.972903226,0.96516129
74,0.666666667,0.476190476,2.185185185,0.555555556,0.757009346,0.700934579
75,1.153846154,0.538461538,0.9375,0.46875,0.848341232,0.815165877
76,4.03125,0.40625,3.538461538,0.435897436,0.848684211,0.809210526
77,0.782608696,0.434782609,0.620689655,0.482758621,0.865671642,0.813432836
78,3.176470588,0.411764706,2.291666667,0.333333333,0.727272727,0.636363636
79,0.333333333,0.19047619,0.357142857,0.25,-3.5,-4.666666667
80,-1,0,-1,0.03030303,0.856521739,0.817391304
81,5.151515152,0.666666667,4.047619048,0.69047619,0.798245614,0.745614035
82,0.47826087,0.217391304,0.413793103,0.206896552,0.666666667,0.586666667
83,4.36,0.44,3.516129032,0.419354839,0.310344828,0.068965517
84,0.05,0.05,0.037037037,0.037037037,0.80861244,0.765550239
85,1,0.41025641,1.104166667,0.479166667,0.836820084,0.807531381
86,3.538461538,0.564102564,3.086956522,0.565217391,0.826923077,0.788461538
87,1.037037037,0.222222222,0.96969697,0.242424242,-4.6,-5.8
88,-1,0.071428571,-1,0.088235294,0.837209302,0.8
89,4.2,0.571428571,3.813953488,0.627906977,0.797619048,0.755952381
90,0.352941176,0.352941176,0.390243902,0.414634146,0.057142857,-0.114285714
91,3.636363636,0.333333333,-1,0.384615385,0.728,0.664
92,0.882352941,0.382352941,0.785714286,0.404761905,0.618421053,0.526315789
93,0.586206897,0.413793103,0.628571429,0.428571429,0.791666667,0.725
94,1.04,0.36,0.818181818,0.333333333,0.696629213,0.595505618
95,5.592592593,0.518518519,4.333333333,0.444444444,0.93373494,0.873493976
96,0.363636364,0.181818182,2.714285714,0.476190476,0.820175439,0.780701754
97,0.780487805,0.341463415,1,0.42,0.346938776,0.224489796
